sisulname,sisuladdr,tel
서울꽃동네신내노인요양원,서울특별시 중랑구 신내로 ,02-490-2600
청운양로원,서울특별시 종로구 구기동 ,02-379-9232
청운노인요양원,서울특별시 종로구 비봉길 ,02-379-9232
홍파양로원,서울특별시 노원구 동일로248길 ,02-939-0735
천사노인요양원,서울특별시 강서구 강서로45다길 ,02-2602-2443
혜명양로원,서울특별시 금천구 금하로29길 ,02-802-6765
시립고덕양로원,서울특별시 강동구 고덕로,02-441-8886
노인요양센터 인영실버,서울특별시 금천구 금하로 ,02-804-6141
동명노인복지쎈타,서울특별시 관악구 봉천로23라길 ,02-875-2770
영기노인요양원,서울특별시 노원구 동일로248길 ,02-992-2298
참사랑데이케어센터,서울특별시 송파구 마천로,02-3401-5558
은천노인요양센터,서울특별시 동대문구 장한로27가길 ,02-2249-9980
동작실버센터,서울특별시 동작구 노량진로32길 ,02-821-8600
구립서초노인요양센터,서울특별시 서초구 남부순환로340길 ,02-597-5008
성북구립 상월곡실버복지센터,서울특별시 성북구 화랑로18길 ,02-963-1082
사랑의 집,서울특별시 용산구 효창원로15길 ,02-715-9020
서울특별시남부노인보호전문기관,서울특별시 서초구 방배동 ,02-3472-1389
우리사랑재가노인지원센터,서울특별시 동대문구 휘경로12길,02-2215-8027
강남노인복지센터,서울특별시 강남구 테헤란로52길 ,02-565-3857
청운노인복지센터,서울특별시 동작구 국사봉1길 ,02-0823-3833
동대문실버데이케어센터,서울특별시 동대문구 약령시로5길 ,02-920-4547
한국씨니어노인복지센터,서울특별시 동작구 동작대로7길 ,02-815-1922
목동종합사회복지관병설목동노인복지센터,서울특별시 양천구 목동중앙북로8길 ,02-2651-0809
서초구립양재노인종합복지관,서울특별시 서초구 강남대로30길 ,02-578-1515
효림재가노인지원센터,서울특별시 서대문구 경기대로9길,02-313-5124
두엄자리,서울특별시 양천구 목동중앙남로16다길,02-2642-8267
용산재가노인지원센터,서울특별시 용산구 한강대로43길 ,02-792-7882
길음노인복지센터,서울특별시 성북구 삼양로2길 ,02-989-0161
남산실버복지센터,서울특별시 중구 동호로5길,02-2238-9941
행복창조노인복지센터(주야간보호,방문요양,방문목욕),서울특별시 은평구 응암동 ,02-382-1443
강서구립봉제산노인복지센터,서울특별시 강서구 화곡동 ,02-2605-1553
청운실버센터,서울특별시 종로구 자하문로28길 ,02-730-4966
시립중계노인전문요양원,서울특별시 노원구 중계동 ,02-972-9011
정수데이케어센터,서울특별시 성동구 한림말길 ,02-2282-1100
시립중랑노인종합복지관,서울특별시 중랑구 겸재로9길 ,02-493-9966
시립서부노인전문요양센터,서울특별시 마포구 월드컵로36길 ,02-376-0472
우리모두데이케어센터,서울특별시 강서구 화곡로63가길 ,02-691-8756
푸른햇살데이케어센터,서울특별시 관악구 난곡로,02-851-2833
시립동부데이케어센터,서울특별시 성동구 마장로23길 ,02-3407-2738
휘경데이케어센터,서울특별시 동대문구 답십리로 ,02-2249-0173
강남구립 강남노인종합복지관,서울특별시 강남구 삼성로 ,02-549-7070
강북노인종합복지관,서울특별시 강북구 삼양로92길,02-999-9179
참사랑재가노인지원센터,서울특별시 강서구 금낭화로 ,02-2606-9559
노원재가센터,서울특별시 노원구 공릉동 ,02-948-0520
아현노인복지센터,서울특별시 마포구 마포대로26길 ,02-365-3677
어르신이행복한세상 주야간보호센터,서울특별시 양천구 신월로 ,02-2646-3893
중앙소규모요양시설(나 형),서울특별시 서대문구 서소문로 ,02-3472-9191
남부실버요양원,서울특별시 금천구 범안로12가길 ,02-804-1957
어르신이행복한세상요양센터01호,서울특별시 양천구 신월로 ,02-2646-3893
중계데이케어센터,서울특별시 노원구 덕릉로 ,02-952-0502
양천재가노인복지센터,서울특별시 양천구 목동로23길 ,02-2605-0825
상계데이케어센터,서울특별시 노원구 덕릉로115나길 ,02-951-9997
동명노인요양공동생활가정,서울특별시 관악구 봉천로23라길 ,02-875-2770
한사랑실버케어요양원,서울특별시 동대문구 장한로28길 ,02-3394-4560
자비의 집,서울특별시 은평구 서오릉로 ,02-354-1116
북가좌2동노인복지센터,서울특별시 서대문구 증가로20길 ,02-376-5040
갈현데이케어센터,서울특별시 은평구 통일로89길 ,02-357-2640
약수데이케어센터,서울특별시 동작구 양녕로36길 ,02-825-7071
보사노인복지센터,서울특별시 마포구 동교로 ,02-3273-6692
구립하계실버센터,서울특별시 노원구 한글비석로 ,02-975-9555
정성요양원,서울특별시 동작구 보라매로 ,02-822-8636
송파노인복지센터,서울특별시 송파구 백제고분로41길 ,02-2202-3677
효림데이케어센터,서울특별시 서대문구 경기대로9길 ,02-313-5124
은천재가노인지원센터,서울특별시 동대문구 장한로27가길,02-2249-0580
효림노인요양센터,서울특별시 서대문구 경기대로9길 ,02-313-5124
양천어르신종합복지관,서울특별시 양천구 목동로3길,02-2649-8813
연희노인여가복지시설,서울특별시 서대문구 홍제천로2길 ,02-3143-7778
호선실버센터,서울특별시 강서구 수명로2길 ,02-2662-6712
강북노인전문요양원,서울특별시 강북구 삼양로92길 ,02-900-8957
한빛데이케어센터,서울특별시 양천구 신월로11길 ,0226908762
청담노인복지센터,서울특별시 금천구 금하로29길 ,070-4680-2460
유자원,서울특별시 동대문구 망우로 ,02-3394-5467
한사랑복지센터,서울특별시 관악구 은천로 ,02-592-9149
송파치매주.야간보호센터,서울특별시 송파구 백제고분로32길 ,02-2203-9400
홍은데이케어센터,서울특별시 서대문구 홍은중앙로9길 ,02-391-1355
노인주간보호센터 은빛마을,서울특별시 서초구 신반포로33길 ,02-3477-1011
시립은평노인종합복지관,서울특별시 은평구 연서로,02-385-1351
노원1치매데이케어센터,서울특별시 노원구 월계로 ,02-949-0700
시립동부노인전문요양센터,서울특별시 성동구 마장로23길 ,02-3407-2705
도봉동어르신복지관,서울특별시 도봉구 도봉로169가길 ,02-3491-3356
청암노인요양원,서울특별시 송파구 성내천로 ,02-406-2344
성우회,서울특별시 은평구 통일로92길,02-354-8116
구립역촌노인복지관,서울특별시 은평구 연서로3나길,02-385-9500
구립갈현노인복지관,서울특별시 은평구 통일로89길,02-357-2640
궁동데이케어센터,서울특별시 구로구 부일로17길,02-2616-0157
약수노인복지관,서울특별시 중구 다산로6길 ,02-2234-3515
서울강남시니어클럽,서울특별시 강남구 학동로43길 ,02-547-8866
그린리버노인복지센터,서울특별시 송파구 성내천로 ,02-406-2688
송파노인종합복지관,서울특별시 송파구 백제고분로32길,02-2203-9400
서초성심노인복지센터(주야간보호),서울특별시 서초구 반포대로22길 ,02-579-1850
서초성심노인복지센터,서울특별시 서초구 반포대로22길,02-582-6004
신림다사랑노인복지센터,서울특별시 관악구 남부순환로 ,011-269-9970
일광노인요양센터,서울특별시 성북구 보문로31길 ,02-742-7556
마포노인복지센터 부설 마포재가노인지원센터,서울특별시 마포구 만리재로 ,02-365-7775
은평고령자취업알선센터,서울특별시 은평구 연서로 ,02-385-1351
동작노인종합복지관,서울특별시 동작구 상도로11길 ,02-823-0064
구립영등포노인복지센터,서울특별시 영등포구 선유서로34길 ,02-2631-3212
구립영등포노인복지센터,서울특별시 영등포구 선유서로34길 ,02-2631-3212
청남노인요양공동생활가정,서울특별시 동작구 강남초등8길 ,02-0566-6976
정토데이케어센터,서울특별시 구로구 디지털로31길 ,02-852-0525
성북구립 장위실버복지센터,서울특별시 성북구 한천로 ,02-913-3369
